Department,Dept_ID,Students,Faculty,Courses,Theory_Courses,Lab_Courses,FacultyFeedback,TheoryFeedback,LabFeedback,Total_Feedback
CSE,D01,275,10,10,8,2,3115,2094,915,6124
ECE,D02,234,7,9,6,3,2739,1873,844,5456
EEE,D03,210,6,8,6,2,2403,1569,759,4731
AIML,D04,269,9,11,8,3,3016,2084,978,6078
AIDS,D05,210,11,13,9,4,2319,1593,735,4647
CSD,D06,187,7,8,5,3,2070,1464,698,4232
MECH,D07,257,6,8,6,2,2873,1985,925,5783
IT,D08,257,9,9,6,3,3001,2022,885,5908
EIE,D09,187,5,7,5,2,2077,1451,688,4216
CIVIL,D10,234,5,8,6,2,2659,1819,891,5369
