Feedback_ID,Faculty_ID,Course_ID,Date,Communication,Subject_Knowledge,Interaction,Doubt_Resolution,Syllabus_Completion,Practical_Example
FB000001,F020,C029,2021-11-10,4,3,3,2,4,2
FB000002,F027,C027,2021-11-10,3,4,5,5,3,3
FB000003,F008,C008,2021-11-10,1,3,2,4,3,4
FB000004,F005,C005,2021-11-10,2,5,3,4,4,3
FB000005,F065,C090,2021-11-10,1,4,3,3,4,3
FB000006,F069,C060,2021-11-10,2,2,3,4,5,5
FB000007,F011,C011,2021-11-10,5,5,4,5,5,3
FB000008,F013,C013,2021-11-10,3,4,3,2,2,1
FB000009,F052,C049,2021-11-10,2,3,5,3,3,1
FB000010,F033,C055,2021-11-10,2,1,3,3,2,1
FB000011,F055,C072,2021-11-10,3,3,4,4,3,3
FB000012,F074,C073,2021-11-10,3,2,3,2,3,2
FB000013,F006,C053,2021-11-10,5,5,4,4,5,5
FB000014,F020,C029,2021-11-10,4,3,2,2,3,3
FB000015,F051,C047,2021-11-10,3,3,3,3,3,2
FB000016,F064,C084,2021-11-10,5,5,3,4,5,3
FB000017,F041,C042,2021-11-10,4,4,3,3,5,5
FB000018,F017,C058,2021-11-10,3,3,1,3,3,3
FB000019,F067,C086,2021-11-10,3,3,3,4,3,2
FB000020,F020,C029,2021-11-10,3,4,2,3,2,1
FB000021,F053,C067,2021-11-10,3,4,4,2,4,2
FB000022,F064,C087,2021-11-10,3,2,5,5,5,3
FB000023,F051,C044,2021-11-10,4,3,3,3,3,2
FB000024,F003,C003,2021-11-10,2,4,3,3,4,4
FB000025,F065,C091,2021-11-10,4,5,2,5,3,4
FB000026,F046,C041,2021-11-10,3,5,3,5,4,4
FB000027,F003,C059,2021-11-10,2,4,3,3,3,4
FB000028,F019,C019,2021-11-10,4,5,3,5,4,4
FB000029,F056,C071,2021-11-10,4,3,3,4,5,4
FB000030,F017,C004,2021-11-10,5,5,2,3,4,4
FB000031,F044,C035,2021-11-10,4,5,3,5,4,2
FB000032,F008,C008,2021-11-10,3,3,3,5,1,2
FB000033,F006,C053,2021-11-10,4,3,2,3,4,3
FB000034,F016,C016,2021-11-10,3,3,2,4,5,4
FB000035,F032,C054,2021-11-10,2,4,4,3,3,1
FB000036,F059,C082,2021-11-10,3,3,3,3,4,2
FB000037,F009,C009,2021-11-10,4,4,4,4,3,2
FB000038,F006,C006,2021-11-10,3,3,1,2,2,1
FB000039,F003,C003,2021-11-10,5,5,4,5,5,5
FB000040,F047,C048,2021-11-10,3,2,2,4,3,3
FB000041,F033,C055,2021-11-10,4,4,4,3,5,3
FB000042,F007,C007,2021-11-10,5,5,4,4,4,4
FB000043,F055,C072,2021-11-10,5,5,3,4,4,4
FB000044,F010,C010,2021-11-10,2,3,3,4,4,2
FB000045,F033,C055,2021-11-10,4,4,3,3,4,3
FB000046,F005,C005,2021-11-10,3,5,4,3,4,4
FB000047,F032,C054,2021-11-10,3,3,3,5,3,3
FB000048,F064,C087,2021-11-10,3,4,3,2,2,1
FB000049,F041,C037,2021-11-10,3,3,4,3,3,3
FB000050,F030,C030,2021-11-10,3,3,3,2,5,4
FB000051,F002,C002,2021-11-10,4,4,2,3,5,4
FB000052,F024,C024,2021-11-10,3,3,2,3,3,4
FB000053,F053,C067,2021-11-10,4,5,5,5,5,3
FB000054,F003,C003,2021-11-10,3,2,2,4,4,3
FB000055,F007,C007,2021-11-10,5,4,5,4,5,5
FB000056,F031,C031,2021-11-10,3,4,3,4,3,3
FB000057,F013,C034,2021-11-10,2,3,3,4,3,2
FB000058,F019,C075,2021-11-10,3,5,3,4,4,4
FB000059,F070,C063,2021-11-10,5,4,4,4,4,3
FB000060,F055,C072,2021-11-10,5,3,2,4,3,5
FB000061,F067,C088,2021-11-10,4,4,5,5,4,5
FB000062,F058,C069,2021-11-10,1,2,3,2,5,3
FB000063,F013,C033,2021-11-10,3,5,3,4,3,3
FB000064,F007,C007,2021-11-10,4,3,3,4,3,3
FB000065,F022,C022,2021-11-10,5,3,4,4,3,4
FB000066,F047,C048,2021-11-10,4,4,2,2,3,4
FB000067,F065,C091,2021-11-10,3,3,3,4,5,4
FB000068,F064,C084,2021-11-10,5,4,4,2,5,5
FB000069,F060,C083,2021-11-10,4,4,4,4,5,3
FB000070,F011,C011,2021-11-10,4,3,3,3,5,2
FB000071,F059,C078,2021-11-10,4,5,3,5,5,4
FB000072,F043,C036,2021-11-10,3,4,4,1,3,2
FB000073,F007,C007,2021-11-10,2,5,1,3,4,2
FB000074,F017,C004,2021-11-10,2,3,4,4,4,3
