S_ID,Year,Completion
SX0001,2021-22,True
SX0002,2021-22,True
SX0003,2021-22,True
SX0004,2021-22,True
SX0005,2021-22,True
SX0006,2021-22,False
SX0007,2021-22,True
SX0008,2021-22,True
SX0009,2021-22,True
SX0010,2021-22,True
SX0011,2021-22,True
SX0012,2021-22,True
SX0013,2021-22,False
SX0014,2021-22,True
SX0015,2021-22,True
SX0016,2021-22,True
SX0017,2021-22,True
SX0018,2021-22,True
SX0019,2021-22,True
SX0020,2021-22,True
SX0021,2021-22,True
SX0022,2021-22,True
SX0023,2021-22,True
SX0024,2021-22,True
SX0025,2021-22,True
SX0026,2021-22,True
SX0027,2021-22,True
SX0028,2021-22,True
SX0029,2021-22,False
SX0030,2021-22,True
SX0031,2021-22,True
SX0032,2021-22,True
SX0033,2021-22,False
SX0034,2021-22,False
SX0035,2021-22,True
SX0036,2021-22,True
SX0037,2021-22,False
SX0038,2021-22,True
SX0039,2021-22,True
SX0040,2021-22,True
SX0041,2021-22,False
SX0042,2021-22,False
SX0043,2021-22,True
SX0044,2021-22,True
SX0045,2021-22,True
SX0046,2021-22,False
SX0047,2021-22,True
SX0048,2021-22,True
SX0049,2021-22,True
SX0050,2021-22,True
SX0051,2021-22,True
SX0052,2021-22,True
SX0053,2021-22,True
SX0054,2021-22,True
SX0055,2021-22,True
SX0056,2021-22,True
SX0057,2021-22,False
SX0058,2021-22,True
SX0059,2021-22,True
SX0060,2021-22,True
SX0061,2021-22,True
SX0062,2021-22,True
SX0063,2021-22,True
SX0064,2021-22,False
SX0065,2021-22,True
SX0066,2021-22,False
SX0067,2021-22,False
SX0068,2021-22,True
SX0069,2021-22,True
SX0070,2021-22,True
SX0071,2021-22,True
SX0072,2021-22,True
SX0073,2021-22,False
SX0074,2021-22,True
SX0075,2021-22,True
SX0076,2021-22,False
SX0077,2021-22,True
SX0078,2021-22,False
SX0079,2021-22,True
SX0080,2021-22,False
SX0081,2021-22,True
SX0082,2021-22,True
SX0083,2021-22,False
SX0084,2021-22,True
SX0085,2021-22,False
SX0086,2021-22,True
SX0087,2021-22,True
SX0088,2021-22,False
SX0089,2021-22,False
SX0090,2021-22,True
SX0091,2021-22,True
SX0092,2021-22,True
SX0093,2021-22,False
SX0094,2021-22,True
SX0095,2021-22,True
SX0096,2021-22,True
SX0097,2021-22,True
SX0098,2021-22,True
SX0099,2021-22,False
SX0100,2021-22,True
SX0101,2021-22,False
SX0102,2021-22,True
SX0103,2021-22,False
SX0104,2021-22,False
SX0105,2021-22,True
SX0106,2021-22,True
SX0107,2021-22,True
SX0108,2021-22,True
SX0109,2021-22,False
SX0110,2021-22,False
SX0111,2021-22,True
SX0112,2021-22,True
SX0113,2021-22,True
SX0114,2021-22,True
SX0115,2021-22,False
SX0116,2021-22,True
SX0117,2021-22,False
SX0118,2021-22,True
SX0119,2021-22,True
SX0120,2021-22,True
SX0121,2021-22,True
SX0122,2021-22,True
SX0123,2021-22,True
SX0124,2021-22,False
SX0125,2021-22,True
SX0126,2021-22,False
SX0127,2021-22,True
SX0128,2021-22,True
SX0129,2021-22,False
SX0130,2021-22,True
SX0131,2021-22,True
SX0132,2021-22,False
SX0133,2021-22,True
SX0134,2021-22,False
SX0135,2021-22,True
SX0136,2021-22,True
SX0137,2021-22,True
SX0138,2021-22,True
SX0139,2021-22,True
SX0140,2021-22,True
SX0141,2021-22,True
SX0142,2021-22,True
SX0143,2021-22,True
SX0144,2021-22,True
SX0145,2021-22,False
SX0146,2021-22,True
SX0147,2021-22,True
SX0148,2021-22,True
SX0149,2021-22,True
SX0150,2021-22,True
SX0151,2021-22,True
SX0152,2021-22,True
SX0153,2021-22,True
SX0154,2021-22,True
SX0155,2021-22,True
SX0156,2021-22,True
SX0157,2021-22,True
SX0158,2021-22,True
SX0159,2021-22,False
SX0160,2021-22,True
SX0161,2021-22,True
SX0162,2021-22,True
SX0163,2021-22,True
SX0164,2021-22,False
SX0165,2021-22,True
SX0166,2021-22,True
SX0167,2021-22,True
SX0168,2021-22,True
SX0169,2021-22,True
SX0170,2021-22,True
SX0171,2021-22,True
SX0172,2021-22,True
SX0173,2021-22,True
SX0174,2021-22,False
SX0175,2021-22,True
SX0176,2021-22,True
SX0177,2021-22,False
SX0178,2021-22,False
SX0179,2021-22,False
SX0180,2021-22,True
SX0181,2021-22,False
