FeedbackID,LabID,SystemPerformance,SystemAvailability,InternetConnectivity,EquipmentAvailability,LabMaterialAvailability,StaffAvailability,TechnicalSupport,LabCleanliness,SeatingAndSpace,LabSafety,Date
LFB000001,L011,3,3,5,4,5,3,4,4,2,3,2021-11-10
LFB000002,L010,2,3,2,3,2,2,2,3,4,4,2021-11-10
LFB000003,L025,3,3,5,5,3,4,5,4,4,5,2021-11-10
LFB000004,L016,5,3,3,3,5,4,3,5,4,5,2021-11-10
LFB000005,L019,3,5,3,1,4,2,3,4,4,4,2021-11-10
LFB000006,L014,4,3,4,4,4,4,4,3,2,4,2021-11-10
LFB000007,L011,4,3,3,4,4,4,4,3,5,5,2021-11-10
LFB000008,L025,5,3,4,3,4,3,4,3,4,3,2021-11-10
LFB000009,L022,3,4,3,5,4,4,3,4,4,2,2021-11-10
LFB000010,L017,3,3,4,5,5,4,4,5,5,4,2021-11-10
LFB000011,L018,5,2,2,3,4,4,3,4,4,4,2021-11-10
LFB000012,L021,3,5,4,3,5,4,4,4,3,4,2021-11-10
LFB000013,L001,3,4,2,3,4,4,3,3,4,4,2021-11-10
LFB000014,L017,2,2,4,3,3,2,3,3,5,3,2021-11-10
LFB000015,L017,3,3,2,3,4,4,3,5,2,2,2021-11-10
LFB000016,L011,5,3,5,5,5,4,3,4,2,5,2021-11-10
LFB000017,L007,4,4,5,4,2,5,4,5,3,4,2021-11-10
LFB000018,L012,3,3,1,3,5,3,4,4,4,4,2021-11-10
LFB000019,L004,3,3,3,3,2,3,4,3,2,1,2021-11-10
LFB000020,L001,2,4,4,5,3,5,5,4,3,4,2021-11-10
LFB000021,L011,4,3,2,1,4,5,2,4,4,2,2021-11-10
LFB000022,L025,2,4,5,3,5,5,4,4,3,5,2021-11-10
LFB000023,L004,2,4,4,4,4,4,4,3,3,3,2021-11-10
LFB000024,L007,3,5,3,3,4,2,2,4,3,3,2021-11-10
LFB000025,L010,2,2,1,1,3,3,3,3,2,3,2021-11-10
LFB000026,L005,4,3,4,4,2,3,5,5,4,3,2021-11-10
LFB000027,L025,4,5,3,5,3,3,4,5,5,5,2021-11-10
LFB000028,L005,2,2,3,3,3,3,2,3,3,5,2021-11-11
LFB000029,L007,5,2,3,3,4,5,4,4,5,5,2021-11-11
LFB000030,L001,4,3,2,2,4,2,4,3,4,3,2021-11-11
LFB000031,L024,4,4,4,4,3,4,3,4,3,5,2021-11-11
LFB000032,L015,3,4,3,4,5,4,4,5,4,4,2021-11-11
LFB000033,L010,2,2,2,3,3,3,3,4,3,2,2021-11-11
LFB000034,L025,2,4,3,5,5,5,4,2,5,2,2021-11-11
LFB000035,L020,5,5,5,5,5,4,4,4,5,4,2021-11-11
LFB000036,L017,3,4,2,4,2,3,5,4,4,5,2021-11-11
LFB000037,L006,4,3,3,4,4,3,3,3,3,4,2021-11-11
LFB000038,L021,2,3,2,3,3,2,2,4,2,4,2021-11-11
LFB000039,L010,5,3,4,4,5,5,5,4,4,4,2021-11-11
LFB000040,L005,2,1,5,3,3,5,3,4,4,4,2021-11-11
LFB000041,L023,3,3,3,4,4,5,2,3,3,5,2021-11-11
LFB000042,L020,3,3,5,4,4,3,4,4,4,3,2021-11-11
LFB000043,L008,5,3,3,4,4,5,5,3,4,3,2021-11-11
LFB000044,L026,5,4,5,5,4,5,3,5,4,5,2021-11-11
LFB000045,L016,3,4,2,2,3,3,3,2,5,4,2021-11-11
LFB000046,L004,4,3,2,2,4,3,2,5,3,4,2021-11-11
LFB000047,L024,3,3,2,4,3,3,3,1,4,4,2021-11-11
LFB000048,L026,5,5,5,2,3,3,4,3,5,4,2021-11-11
LFB000049,L003,4,4,4,3,4,4,3,5,4,4,2021-11-11
