CFB_ID,Course_ID,Date,Course_Content,Practical_Learning,Course_Management,Course_Value,Course_Difficulty,Learning_Experience
CFB000001,C077,2021-11-10,4,1,3,3,3,5
CFB000002,C054,2021-11-10,2,4,4,4,2,3
CFB000003,C075,2021-11-10,2,3,4,4,3,4
CFB000004,C034,2021-11-10,2,4,3,3,3,3
CFB000005,C073,2021-11-10,5,1,3,3,2,4
CFB000006,C088,2021-11-10,3,5,3,3,3,2
CFB000007,C074,2021-11-10,2,2,1,1,3,2
CFB000008,C068,2021-11-10,2,4,2,4,3,3
CFB000009,C054,2021-11-10,5,5,4,4,3,4
CFB000010,C019,2021-11-10,3,4,4,3,1,4
CFB000011,C045,2021-11-10,3,4,4,3,4,3
CFB000012,C059,2021-11-10,5,4,3,3,3,3
CFB000013,C054,2021-11-10,3,2,3,3,3,3
CFB000014,C066,2021-11-10,4,3,3,3,4,5
CFB000015,C043,2021-11-10,2,5,4,4,2,4
CFB000016,C061,2021-11-10,2,3,2,2,2,4
CFB000017,C044,2021-11-10,4,4,4,5,2,5
CFB000018,C059,2021-11-10,3,5,4,5,3,3
CFB000019,C077,2021-11-10,4,2,2,4,2,3
CFB000020,C073,2021-11-10,3,2,4,3,2,3
CFB000021,C074,2021-11-10,5,4,4,3,2,3
CFB000022,C051,2021-11-10,3,3,5,5,4,3
CFB000023,C088,2021-11-10,3,2,2,4,4,4
CFB000024,C089,2021-11-10,3,3,3,3,3,5
CFB000025,C048,2021-11-10,3,2,3,3,4,3
CFB000026,C069,2021-11-10,5,2,3,2,3,2
CFB000027,C074,2021-11-10,4,3,3,4,3,4
CFB000028,C051,2021-11-10,3,2,4,3,3,3
CFB000029,C067,2021-11-10,4,2,4,4,3,5
CFB000030,C010,2021-11-10,3,3,5,2,4,2
CFB000031,C040,2021-11-10,3,5,5,2,5,4
CFB000032,C067,2021-11-10,4,3,5,3,4,2
CFB000033,C069,2021-11-10,5,3,4,4,2,4
CFB000034,C035,2021-11-10,4,3,3,3,5,4
CFB000035,C021,2021-11-10,4,2,4,4,5,4
